userid,number_of_distinct_songs
user_000160,7012
user_000161,6540
user_000162,17423
user_000163,1342
user_000164,784
user_000165,2227
user_000166,799
user_000167,5337
user_000168,1964
user_000169,2731
user_000170,7064
user_000171,385
user_000172,2432
user_000173,783
user_000174,11508
user_000175,710
user_000176,418
user_000177,2707
user_000178,10125
user_000179,2228
user_000180,4398
user_000181,2425
user_000182,9085
user_000183,85
user_000184,259
user_000185,4013
user_000186,817
user_000187,2546
user_000188,8478
user_000189,4687
user_000190,7727
user_000191,5981
user_000192,484
user_000193,734
user_000194,3046
user_000195,1048
user_000196,1674
user_000197,923
user_000198,1455
user_000199,14669
user_000200,680
user_000201,1023
user_000202,1144
user_000203,5106
user_000204,374
user_000205,3606
user_000206,6802
user_000207,690
user_000208,2311
user_000209,3923
user_000210,16236
user_000211,4708
user_000212,683
user_000213,2678
user_000214,1652
user_000215,6609
user_000216,1080
user_000217,891
user_000218,5027
user_000219,6927
user_000220,1894
user_000221,1391
user_000222,5616
user_000223,6456
user_000224,3440
user_000225,454
user_000226,4944
user_000227,3502
user_000228,253
user_000229,5176
user_000230,1347
user_000231,35
user_000232,433
user_000233,9014
user_000234,1791
user_000235,5585
user_000236,2522
user_000237,7912
user_000238,2175
user_000239,3926
user_000240,2
user_000241,3264
user_000242,7055
user_000243,1076
user_000244,2020
user_000245,1988
user_000246,2116
user_000247,187
user_000248,47
user_000249,15465
user_000250,5391
user_000251,3125
user_000252,2485
user_000253,1124
user_000254,2357
user_000255,5122
user_000256,4151
user_000257,505
user_000258,1171
user_000259,3780
user_000260,2915
user_000261,2532
user_000262,4813
user_000263,1910
user_000264,3370
user_000265,621
user_000266,7716
user_000267,5944
user_000268,4594
user_000269,5631
user_000270,1697
user_000271,4353
user_000272,90
user_000273,4652
user_000274,11382
user_000275,681
user_000276,2996
user_000277,1724
user_000278,3137
user_000279,4186
user_000280,7877
user_000281,8491
user_000282,115
user_000284,6008
user_000285,4354
user_000286,111
user_000288,1123
user_000289,846
user_000290,10016
user_000291,1101
user_000292,533
user_000293,12377
user_000294,5589
user_000295,1899
user_000296,5225
user_000297,983
user_000298,8247
user_000299,1600
user_000300,2279
user_000301,91
user_000302,979
user_000303,5194
user_000304,8171
user_000305,696
user_000306,6899
user_000307,609
user_000308,66
user_000309,2772
user_000310,1221
user_000311,555
user_000312,4428
user_000313,18068
user_000314,946
user_000315,895
user_000316,1782
user_000317,9870
user_000318,1974
user_000319,5792
user_000320,4858
user_000321,350
user_000322,11453
user_000323,5674
user_000324,2200
user_000325,3989
user_000326,3781
user_000327,685
user_000328,460
user_000329,5228
user_000330,1546
user_000331,1736
user_000332,2
user_000333,416
user_000334,1182
user_000335,158
user_000336,235
user_000337,6210
user_000338,4148
user_000339,1926
user_000340,4662
user_000341,10843
user_000342,922
user_000343,2740
user_000344,9845
user_000345,24110
user_000346,3315
user_000347,5243
user_000348,11193
user_000349,9157
user_000350,2321
user_000351,4440
user_000352,145
user_000353,1058
user_000354,6355
user_000355,1236
user_000356,4593
user_000357,14457
user_000358,3447
user_000359,14149
user_000360,3563
user_000361,3396
user_000362,6726
user_000363,4114
user_000364,147
user_000366,8284
user_000367,592
user_000368,456
user_000369,675
user_000370,11223
user_000371,7391
user_000372,4270
user_000373,2907
user_000374,2907
user_000375,283
user_000376,11943
user_000377,2382
user_000378,1568
user_000379,2510
user_000380,3358
user_000381,8353
user_000382,8847
user_000383,2728
user_000384,14169
user_000385,1647
user_000386,84
user_000387,4106
user_000388,5123
user_000389,3677
user_000390,813
user_000391,4392
user_000392,740
user_000393,1422
user_000394,6359
user_000395,561
user_000396,2293
user_000397,8692
user_000398,6915
user_000399,205
user_000400,3030
user_000401,2554
user_000402,234
user_000403,2928
user_000404,1177
user_000405,1150
user_000406,426
user_000407,5739
user_000408,339
user_000409,10992
user_000410,382
user_000411,682
user_000412,11477
user_000413,1080
user_000414,1133
user_000415,8541
user_000416,366
user_000417,1332
user_000418,554
user_000419,237
user_000420,2083
user_000421,1031
user_000422,2134
user_000423,4730
user_000424,1845
user_000425,4060
user_000426,4840
user_000427,28592
user_000429,7822
user_000430,2685
user_000431,8533
user_000432,3257
user_000433,1878
user_000434,2570
user_000435,313
user_000436,3159
user_000437,5257
user_000438,1664
user_000439,6481
user_000440,3338
user_000441,1494
user_000442,4456
user_000443,1597
user_000444,2282
user_000445,3285
user_000446,3617
user_000447,762
user_000448,490
user_000449,734
user_000450,3166
user_000451,18282
user_000452,2205
user_000453,5930
user_000454,1049
user_000455,85
user_000456,1617
user_000457,661
user_000458,6121
user_000459,1297
user_000460,809
user_000461,5695
user_000462,1879
user_000463,1596
user_000464,1938
user_000465,1242
user_000467,8806
user_000468,2911
user_000469,3953
user_000471,10970
user_000472,1613
user_000473,350
user_000474,2378
user_000475,2887
user_000476,1889
user_000477,8139
user_000478,2423
user_000479,5661
user_000480,5188
user_000481,969
user_000482,3454
user_000483,15408
user_000484,3068
user_000485,571
user_000486,2136
user_000487,406
user_000488,906
user_000489,1479
user_000490,1884
user_000491,3213
user_000492,48
user_000493,4633
user_000494,1259
user_000495,1830
user_000496,4506
user_000497,965
user_000498,1001
user_000499,8324
user_000500,5083
user_000501,5243
user_000502,3801
user_000503,5531
user_000504,2729
user_000505,2993
user_000506,1112
user_000507,4346
user_000508,2148
user_000509,12084
user_000510,1714
user_000511,2173
user_000512,5394
user_000513,3700
user_000514,4182
user_000515,11252
user_000516,2489
user_000517,3020
user_000518,2740
user_000519,185
user_000520,2250
user_000521,865
user_000522,5345
user_000523,3040
user_000524,2179
user_000525,1672
user_000526,326
user_000527,578
user_000528,1236
user_000529,14056
user_000530,782
user_000531,1675
user_000532,3754
user_000533,24
user_000534,3513
user_000535,5374
user_000536,9993
user_000537,3055
user_000538,14
user_000539,1044
user_000540,2071
user_000541,183
user_000542,3215
user_000543,7747
user_000544,15479
user_000545,968
user_000546,3227
user_000547,242
user_000548,152
user_000549,1887
user_000550,4437
user_000551,723
user_000552,1913
user_000553,6037
user_000554,4800
user_000555,748
user_000556,318
user_000557,2678
user_000558,2954
user_000559,763
user_000560,244
user_000561,75
user_000562,1136
user_000563,60
user_000564,8205
user_000565,11284
user_000566,6
user_000567,412
user_000568,2932
user_000569,6838
user_000570,7671
user_000571,10577
user_000572,5447
user_000573,2798
user_000574,1776
user_000575,3082
user_000576,3141
user_000577,17165
user_000578,2226
user_000579,5503
user_000580,2099
user_000581,5912
user_000582,1268
user_000583,1554
user_000584,4508
user_000585,2917
user_000586,701
user_000587,1931
user_000588,4157
user_000589,2023
user_000590,1868
user_000591,2016
user_000592,1059
user_000593,6472
user_000594,4361
user_000595,4139
user_000596,4324
user_000597,142
user_000598,606
user_000599,4101
user_000600,4815
user_000601,1245
user_000602,971
user_000603,5619
user_000604,7282
user_000605,873
user_000606,3348
user_000607,1715
user_000608,66
user_000609,4798
user_000610,5721
user_000611,13924
user_000612,4033
user_000613,671
user_000614,2332
user_000615,4602
user_000616,3144
user_000617,10017
user_000618,39
user_000619,1934
user_000620,4179
user_000621,1060
user_000622,634
user_000623,1740
user_000624,1081
user_000625,3877
user_000626,575
user_000627,6933
user_000628,2280
user_000629,5459
user_000630,9710
user_000631,734
user_000632,5651
user_000633,3409
user_000634,3294
user_000635,4753
user_000636,2039
user_000637,2216
user_000638,235
user_000639,5304
user_000640,801
user_000641,8772
user_000642,839
user_000643,1986
user_000644,2344
user_000645,1056
user_000646,928
user_000647,8207
user_000648,2635
user_000649,1331
user_000650,4478
user_000651,3197
user_000652,3912
user_000653,2147
user_000654,2839
user_000655,7305
user_000656,4405
user_000657,332
user_000658,2054
user_000659,4408
user_000660,1092
user_000661,6109
user_000662,3100
user_000664,429
user_000665,2347
user_000666,5247
user_000667,1817
user_000668,1208
user_000669,2780
user_000670,6596
user_000671,2781
user_000672,1618
user_000673,1350
user_000674,277
user_000675,10638
user_000676,1119
user_000677,59
user_000678,3568
user_000679,764
user_000680,8990
user_000681,36748
user_000682,1159
user_000683,1008
user_000684,13703
user_000685,9433
user_000686,5
user_000687,5017
user_000688,2358
user_000689,13521
user_000690,9694
user_000691,59850
user_000692,19466
user_000693,1156
user_000694,4782
user_000695,4594
user_000696,685
user_000697,2300
user_000698,1535
user_000699,3173
user_000700,4492
user_000701,2270
user_000702,24226
user_000703,12777
user_000704,2864
user_000705,6377
user_000706,3509
user_000707,2156
user_000708,4178
user_000709,10747
user_000710,1270
user_000711,1454
user_000712,3190
user_000713,1261
user_000714,2573
user_000715,1804
user_000716,1789
user_000717,2969
user_000718,4285
user_000719,1726
user_000720,1377
user_000721,3621
user_000722,8364
user_000723,141
user_000724,1094
user_000725,1529
user_000726,1866
user_000727,8162
user_000728,2326
user_000729,4043
user_000730,8736
user_000731,1295
user_000732,3345
user_000733,6248
user_000734,1829
user_000735,3820
user_000736,178
user_000737,2457
user_000738,858
user_000739,1105
user_000740,4719
user_000741,1687
user_000742,1000
user_000743,9245
user_000744,3920
user_000745,5911
user_000746,1180
user_000747,4655
user_000748,426
user_000749,1740
user_000750,12281
user_000751,6605
user_000752,2205
user_000753,7732
user_000754,1947
user_000755,6902
user_000756,2665
user_000757,1025
user_000758,2102
user_000759,66
user_000760,1360
user_000761,7134
user_000762,2745
user_000763,2995
user_000764,1275
user_000765,2565
user_000766,5215
user_000767,9124
user_000768,1342
user_000769,901
user_000770,6526
user_000771,3347
user_000772,2758
user_000773,2550
user_000774,29997
user_000775,1629
user_000776,2437
user_000777,473
user_000778,508
user_000779,6904
user_000780,5964
user_000781,4478
user_000782,4238
user_000783,21801
user_000784,345
user_000785,61
user_000786,461
user_000787,3219
user_000788,5764
user_000789,10308
user_000790,5982
user_000791,12867
user_000792,14915
user_000793,9635
user_000794,4924
user_000795,2349
user_000796,353
user_000797,513
user_000798,6663
user_000799,1199
user_000800,31874
user_000801,2255
user_000802,5307
user_000803,3475
user_000804,6154
user_000805,366
user_000806,2248
user_000807,12584
user_000808,1287
user_000809,6500
user_000810,4829
user_000811,602
user_000812,756
user_000813,845
user_000814,4764
user_000815,11
user_000816,2287
user_000817,325
user_000818,2150
user_000819,7149
user_000820,4248
user_000821,1683
user_000822,2455
user_000823,3956
user_000824,4279
user_000825,3575
user_000826,3654
user_000827,1476
user_000828,3656
user_000829,4796
user_000830,8921
user_000831,2408
user_000832,3424
user_000833,4064
user_000834,1331
user_000835,5307
user_000836,2203
user_000837,11780
user_000838,3354
user_000839,3578
user_000840,4270
user_000841,10160
user_000842,7551
user_000843,54
user_000844,12863
user_000845,3091
user_000846,109
user_000847,3656
user_000848,6624
user_000849,5620
user_000850,996
user_000851,6236
user_000852,23
user_000853,313
user_000854,593
user_000855,117
user_000856,5
user_000857,4850
user_000858,1175
user_000859,269
user_000860,1129
user_000861,43862
user_000862,5574
user_000863,866
user_000864,97
user_000865,1336
user_000866,42
user_000867,3103
user_000868,2366
user_000869,4743
user_000870,17384
user_000871,3909
user_000872,1433
user_000873,1089
user_000874,3686
user_000875,5596
user_000876,1007
user_000877,4036
user_000878,2868
user_000879,883
user_000880,1019
user_000881,2534
user_000882,24426
user_000883,296
user_000884,1980
user_000885,4447
user_000886,1356
user_000887,2583
user_000888,1407
user_000889,1650
user_000890,4196
user_000891,1890
user_000892,4966
user_000893,3908
user_000894,4076
user_000895,6
user_000896,17892
user_000897,4168
user_000898,6015
user_000899,5466
user_000900,2481
user_000901,11948
user_000902,878
user_000903,888
user_000904,32
user_000905,1911
user_000906,1545
user_000907,460
user_000908,775
user_000909,7650
user_000910,21812
user_000911,571
user_000912,2489
user_000913,5235
user_000914,5562
user_000915,4679
user_000916,203
user_000917,1515
user_000918,1517
user_000919,1416
user_000920,3517
user_000921,2167
user_000922,1579
user_000923,2881
user_000924,3119
user_000925,1642
user_000926,2738
user_000927,4321
user_000928,1039
user_000929,5184
user_000930,1745
user_000931,4688
user_000932,837
user_000933,3853
user_000934,5542
user_000935,3126
user_000936,1349
user_000937,2549
user_000938,1444
user_000939,2569
user_000940,2639
user_000941,3773
user_000942,5484
user_000943,10064
user_000944,7089
user_000945,1333
user_000946,4156
user_000947,1482
user_000948,381
user_000949,5727
user_000950,3484
user_000951,5605
user_000952,2797
user_000953,1130
user_000954,3761
user_000955,137
user_000956,436
user_000957,9126
user_000958,15978
user_000959,1668
user_000960,2331
user_000961,11481
user_000962,15053
user_000963,10098
user_000964,2764
user_000965,1009
user_000966,2270
user_000967,473
user_000968,1751
user_000969,2194
user_000970,12679
user_000971,4445
user_000972,485
user_000973,12459
user_000974,3203
user_000975,749
user_000976,2676
user_000977,2074
user_000978,4727
user_000979,2099
user_000980,1058
user_000981,762
user_000982,50
user_000983,5037
user_000984,1277
user_000985,141
user_000986,8743
user_000987,783
user_000989,4024
user_000990,5323
user_000991,1493
user_000992,1222
user_000993,3743
user_000994,2957
user_000995,6506
user_000996,402
user_000997,740
user_000998,5618
user_000999,2269
user_001000,4684
